date,open,close,high,low,amount
2024-12-25,1487.24,1478.44,1487.24,1474.54,17123.0
2024-12-26,1482.44,1476.23,1487.22,1471.44,18287.0
2024-12-27,1477.34,1477.41,1484.44,1467.94,20759.0
2024-12-30,1482.41,1473.44,1492.4,1473.44,25130.0
2024-12-31,1473.84,1472.44,1493.44,1470.45,39354.0
2025-01-02,1472.44,1436.44,1472.93,1428.44,50029.0
2025-01-03,1442.94,1423.44,1443.43,1415.45,32628.0
2025-01-06,1401.44,1388.44,1411.1,1381.24,44255.0
2025-01-07,1393.1,1388.64,1400.33,1387.44,24221.0
2025-01-08,1388.44,1390.94,1400.26,1375.1,35258.0
2025-01-09,1397.43,1392.44,1413.02,1381.42,29706.0
2025-01-10,1395.54,1384.44,1400.39,1384.44,21872.0
2025-01-13,1373.44,1392.42,1392.88,1370.45,21083.0
2025-01-14,1393.39,1420.94,1427.12,1390.44,30957.0
2025-01-15,1415.44,1419.71,1423.04,1408.45,18399.0
2025-01-16,1422.44,1394.82,1431.1,1390.44,26342.0
2025-01-17,1394.83,1403.19,1409.44,1394.82,18309.0
2025-01-20,1409.44,1423.24,1438.23,1408.44,31410.0
2025-01-21,1429.44,1416.59,1430.44,1413.44,16856.0
2025-01-22,1411.71,1389.44,1416.39,1386.44,28294.0
2025-01-23,1398.41,1391.44,1416.44,1386.44,27125.0
2025-01-24,1390.44,1384.44,1396.23,1378.75,31360.0
2025-01-27,1385.44,1383.43,1392.41,1375.46,29356.0
2025-02-05,1388.44,1352.24,1391.44,1350.65,40757.0
2025-02-06,1348.45,1361.28,1370.43,1348.45,27356.0
2025-02-07,1362.12,1384.44,1391.12,1351.85,37242.0
2025-02-10,1386.44,1379.95,1388.44,1375.53,20840.0
2025-02-11,1383.39,1366.44,1384.4,1364.34,23573.0
2025-02-12,1366.44,1391.44,1393.44,1365.32,25476.0
2025-02-13,1391.46,1413.5,1423.69,1382.95,43385.0
