date,open,close,high,low,amount
2022-12-21,41.89,42.28,43.09,41.89,130742.0
2022-12-22,42.54,42.8,43.88,42.37,228123.0
2022-12-23,42.58,42.98,43.75,42.03,163439.0
2022-12-26,43.28,42.1,43.48,41.96,153879.0
2022-12-27,42.39,43.54,43.63,42.01,173391.0
2022-12-28,43.03,42.65,43.35,42.5,163229.0
2022-12-29,42.22,42.33,42.79,41.62,119951.0
2022-12-30,42.4,42.4,43.1,42.3,127733.0
2023-01-03,42.6,42.48,42.83,41.83,163628.0
2023-01-04,42.29,44.35,44.43,42.25,261341.0
2023-01-05,44.6,45.51,45.59,44.55,294217.0
2023-01-06,45.57,44.61,45.76,44.51,195001.0
2023-01-09,44.7,44.71,45.05,44.0,204277.0
2023-01-10,44.59,44.1,45.0,44.03,154340.0
2023-01-11,44.05,45.1,45.78,44.0,214610.0
2023-01-12,44.9,45.37,45.6,44.61,145818.0
2023-01-13,45.47,46.55,46.6,45.1,265803.0
2023-01-16,46.63,48.3,48.96,46.62,330181.0
2023-01-17,48.29,48.6,48.78,47.75,188114.0
2023-01-18,48.6,48.2,49.1,47.97,130358.0
2023-01-19,48.06,47.98,48.15,47.3,194679.0
2023-01-20,48.06,47.68,48.44,47.56,108608.0
2023-01-30,48.04,46.25,48.68,46.19,256196.0
2023-01-31,46.0,45.8,46.75,45.6,232598.0
2023-02-01,45.89,46.1,46.59,45.05,267247.0
2023-02-02,46.05,44.56,46.2,44.22,367678.0
2023-02-03,44.3,43.91,44.55,43.46,208300.0
2023-02-06,43.41,41.85,43.41,41.68,421857.0
2023-02-07,41.96,42.1,42.3,41.7,209009.0
2023-02-08,41.99,41.61,42.1,41.46,191018.0
2023-02-09,41.4,42.13,42.33,41.09,227383.0
2023-02-10,41.95,42.22,42.35,41.89,139889.0
2023-02-13,42.1,43.04,43.18,41.63,306391.0
2023-02-14,43.05,42.81,43.25,42.41,214375.0
2023-02-15,42.8,41.95,42.81,41.78,179488.0
2023-02-16,41.7,41.88,42.35,41.4,216987.0
2023-02-17,41.65,41.98,42.1,41.62,158066.0
2023-02-20,42.1,43.9,44.29,41.71,383136.0
2023-02-21,43.9,44.14,44.4,43.33,256493.0
2023-02-22,43.6,43.38,43.78,43.01,229115.0
2023-02-23,43.39,43.97,44.48,43.39,240107.0
2023-02-24,43.78,43.58,43.99,43.42,169278.0
2023-02-27,43.2,43.0,43.58,42.46,169471.0
2023-02-28,42.62,43.06,43.74,42.62,194045.0
2023-03-01,43.11,45.22,45.59,43.11,432975.0
2023-03-02,45.2,45.45,46.28,44.75,255490.0
2023-03-03,45.85,45.8,46.44,45.26,197415.0
2023-03-06,45.44,44.43,45.6,44.41,259357.0
2023-03-07,44.44,43.46,44.97,43.3,194738.0
2023-03-08,43.25,42.89,43.4,42.67,144948.0
2023-03-09,42.89,43.3,43.85,42.87,130131.0
2023-03-10,42.84,41.75,43.1,41.62,192134.0
2023-03-13,41.61,42.66,42.84,41.6,194837.0
2023-03-14,42.32,41.75,42.51,41.3,165011.0
2023-03-15,42.1,41.06,42.23,41.0,209456.0
2023-03-16,40.68,40.64,40.99,40.25,121820.0
2023-03-17,41.1,40.93,41.78,40.66,201231.0
2023-03-20,40.78,41.04,41.73,40.7,163015.0
2023-03-21,41.15,42.7,42.74,41.15,231466.0
2023-03-22,42.8,42.3,42.87,41.9,135542.0
2023-03-23,42.08,42.42,42.6,41.99,123790.0
2023-03-24,42.42,42.69,42.77,42.24,132776.0
2023-03-27,42.69,42.45,43.06,42.3,127683.0
2023-03-28,42.3,41.69,42.68,41.66,128679.0
2023-03-29,41.98,42.0,42.17,41.7,128030.0
2023-03-30,41.95,45.07,45.4,41.9,571574.0
2023-03-31,44.71,44.41,45.22,43.96,277888.0
2023-04-03,45.6,45.29,46.0,44.8,373915.0
2023-04-04,45.1,45.23,45.32,44.35,179891.0
2023-04-06,45.02,44.62,45.6,44.35,152435.0
2023-04-07,44.51,45.28,45.87,44.51,158641.0
2023-04-10,45.0,45.36,45.66,44.61,156493.0
2023-04-11,45.01,46.44,46.97,45.0,324366.0
2023-04-12,46.44,46.1,47.35,46.0,223025.0
2023-04-13,45.65,44.74,45.89,44.74,182595.0
2023-04-14,44.78,44.54,45.25,44.43,142124.0
2023-04-17,44.51,46.02,46.18,44.49,262280.0
2023-04-18,45.8,47.38,48.0,45.77,387063.0
2023-04-19,47.38,46.68,47.85,46.65,191887.0
2023-04-20,46.78,47.64,48.64,46.78,367949.0
2023-04-21,48.0,47.45,49.2,47.35,398924.0
2023-04-24,46.8,47.63,49.35,46.61,339921.0
2023-04-25,47.6,48.25,48.64,46.25,429621.0
2023-04-26,47.62,47.3,47.95,46.57,239342.0
2023-04-27,46.77,47.86,48.35,46.77,157771.0
2023-04-28,47.85,47.38,47.95,46.81,156906.0
2023-05-04,47.82,47.18,49.05,46.45,268566.0
2023-05-05,47.0,45.93,47.0,44.68,342123.0
2023-05-08,45.93,45.61,46.59,45.07,208722.0
2023-05-09,45.4,45.4,46.16,44.61,181394.0
2023-05-10,45.1,46.0,46.6,44.48,174626.0
2023-05-11,46.15,46.05,47.32,45.94,126225.0
2023-05-12,45.93,46.42,48.09,45.91,165590.0
2023-05-15,46.46,47.19,47.34,45.61,140666.0
2023-05-16,47.19,45.95,47.84,45.71,136126.0
2023-05-17,45.82,45.62,47.0,45.41,90763.0
2023-05-18,45.75,45.6,46.02,45.15,110695.0
2023-05-19,45.26,46.4,47.46,45.26,203843.0
2023-05-22,46.4,47.31,47.55,46.4,151998.0
2023-05-23,47.29,46.55,47.55,46.48,155851.0
2023-05-24,46.42,44.2,46.49,44.1,266742.0
2023-05-25,44.0,44.61,45.09,43.28,171434.0
2023-05-26,44.61,44.86,45.05,44.08,111661.0
2023-05-29,44.87,44.05,45.29,43.68,174334.0
2023-05-30,44.05,42.93,44.26,42.39,320846.0
2023-05-31,43.19,41.93,43.3,41.7,280650.0
2023-06-01,42.07,41.94,42.85,41.58,348935.0
2023-06-02,43.05,44.85,45.15,43.04,499392.0
2023-06-05,45.56,46.99,47.2,44.64,399400.0
2023-06-06,46.99,47.26,48.36,46.1,342618.0
2023-06-07,48.55,48.3,48.82,47.54,369087.0
2023-06-08,48.75,49.94,50.16,48.25,475531.0
2023-06-09,50.55,49.16,50.81,48.82,410652.0
2023-06-12,49.17,50.4,50.87,48.75,396210.0
2023-06-13,50.31,49.66,50.82,49.31,248501.0
2023-06-14,50.28,50.13,51.03,49.67,360007.0
2023-06-15,50.31,51.05,51.63,50.06,312765.0
2023-06-16,51.45,51.4,52.04,50.45,300061.0
2023-06-19,51.05,49.86,51.19,49.75,289110.0
2023-06-20,49.97,50.63,51.97,49.85,243810.0
2023-06-21,51.05,51.33,52.65,50.45,451303.0
2023-06-26,52.88,51.19,53.0,50.85,335581.0
2023-06-27,51.27,52.74,53.2,50.93,481237.0
2023-06-28,52.5,52.75,53.57,52.26,327901.0
2023-06-29,52.77,52.19,52.84,51.27,276783.0
2023-06-30,52.28,51.97,52.87,51.61,264876.0
2023-07-03,51.93,52.11,53.43,51.38,318762.0
2023-07-04,52.33,51.95,52.65,51.17,219446.0
2023-07-05,52.14,52.17,52.38,51.47,187016.0
2023-07-06,52.18,51.42,52.8,51.35,169577.0
2023-07-07,51.09,50.8,51.64,50.25,293796.0
2023-07-10,50.87,49.68,50.98,49.09,320860.0
2023-07-11,49.85,49.71,50.13,49.45,158028.0
2023-07-12,49.95,50.14,51.13,49.45,187815.0
2023-07-13,50.25,50.85,51.37,50.25,169307.0
2023-07-14,50.8,50.51,51.32,50.07,105000.0
2023-07-17,50.25,50.18,50.25,49.35,90425.0
